l_host_is_superhost,n_host_listings_count,n_host_verifications,l_host_has_profile_pic,l_host_identity_verified,f_property_type,n_accommodates,n_bedrooms,n_beds,n_min_nights,l_has_availability,n_sales_30,n_sales_60,n_sales_90,n_sales_365,n_number_of_reviews,n_review_scores_rating,l_instant_bookable,n_reviews_per_month,f_neighbourhood_cleansed,n_bathrooms,usd_price,flag_reviews_per_month,flag_review_scores_rating,n_days_since_1st,n_days_since_last,d_Cleaning_before_checkout,d_Extra_pillows_and_blankets,d_First_aid_kit,d_High_chair,d_Iron,d_Patio_or_balcony,d_Private_entrance,d_Room_darkening_shades,d_Single_level_home,d_Waterfront,d_Window_guards,d_wifi,d_HDTV,d_Dedicated__Workspace,d_Paid__Parking,d_Free__Parking,d_Refrigerator,d_Fitness,d_stove,d_shampoo,d_hot__water,d_Washer,d_air__condition,d_Smart__Lock,d_Dryer,d_Kitchen,d_Oven,d_Children,d_Microwave,d_garden,d_breakfast,d_Bed_linens,d_Bread_maker,d_Building_staff,d_Carbon_monoxide_alarm,d_Coffee_maker,d_Cooking_basics,d_Dishes_and_silverware,d_Elevator,d_Essentials,d_Fire_extinguisher,d_Hangers,d_Heating,d_Host_greets_you,d_Indoor_fireplace,d_Keypad,d_Long_term_stays_allowed,d_Luggage_dropoff_allowed,usd_price_ln,n_days_since_last_ln,n_days_since_1st_ln,n_accommodates_ln,n_accommodates_ln2,n_accommodates_2,f_has_1_review_monthly,f_review_scores_rating,f_number_of_reviews,f_sales_365,f_sales_90,f_sales_60,f_sales_30,f_min_nights,f_beds,f_bedrooms,f_bathrooms,f_host_listing,flag_n_days_since,f_host_accepts_all
0,2,8,1,1,condominium,3,1,1,3,1,3,3,3,3,65,97,0,0.61,Ratchathewi,1.5,54.78,0,0,3182,352,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,4.0033251638349325,5.863631175598097,8.065265208897733,1.0986122886681098,1.206948960812582,27,1,2,3,0,1,1,1,3,3,1,2,2,0,1
0,1,8,1,1,apartment,2,1,1,28,1,1,1,1,1,52,96,1,0.41,Chatu Chak,1,34.881,0,0,3760,381,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,3.5519422683545807,5.942799375126701,8.23217423638394,0.6931471805599453,0.4804530139182014,8,1,2,3,0,1,1,1,3,3,1,1,1,0,0
1,9,9,1,1,apartment,3,1,1,1,1,30,60,90,365,48,98,0,1.76,Phra Khanong,1,18.942,0,0,815,393,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,2.9413816788039098,5.973809611869261,6.703188113240863,1.0986122886681098,1.206948960812582,27,1,2,2,3,3,1,2,1,3,1,1,2,0,1
0,3,6,1,1,apartment,2,1,1,180,1,2,2,2,2,0,93.72979250541964,0,0,Khlong San,1,49.5,1,1,3760,3603,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.901972669574645,8.189522110748094,8.23217423638394,0.6931471805599453,0.4804530139182014,8,0,2,1,0,1,1,1,3,3,1,1,2,1,0
0,3,4,1,0,apartment,2,1,1,2,1,0,0,0,0,3,50,1,0.03,Din Daeng,1,30.03,0,0,3052,878,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.402196881995239,6.777646593635117,8.023552392404348,0.6931471805599453,0.4804530139182014,8,1,0,2,0,0,0,0,2,3,1,1,2,0,0
0,1,4,1,0,condominium,2,1,1,30,1,8,8,8,8,1,100,0,0.01,Bangkok Noi,1,24.915000000000003,0,0,3603,3603,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,3.215470031733368,8.189522110748094,8.189522110748094,0.6931471805599453,0.4804530139182014,8,1,3,2,0,1,1,1,3,3,1,1,1,0,1
0,4,8,1,1,condominium,4,1,1,2,1,30,60,89,298,9,95,0,0.12,Chatu Chak,1.5,34.881,0,0,2161,294,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,3.5519422683545807,5.683579767338681,7.6783263565068856,1.3862943611198906,1.9218120556728056,64,1,2,2,3,3,1,2,2,3,1,2,2,0,1
0,2,5,1,1,apartment,5,3,3,28,1,3,3,3,3,148,95,0,1.32,Khlong Toei,3.5,194.27100000000002,0,0,3368,351,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,5.269254091512605,5.860786223465865,8.122074375362217,1.6094379124341003,2.5902903939802346,125,1,2,3,0,1,1,1,3,10,3,3,2,0,1
0,1,3,1,0,apartment,2,1,1,2,1,0,0,0,0,3,100,0,0.03,Khlong Toei,1,49.797000000000004,0,0,3405,2632,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.9079547412521922,7.875499292445208,8.133000218583613,0.6931471805599453,0.4804530139182014,8,1,3,2,0,0,0,0,2,3,1,1,1,0,0
0,3,4,1,0,apartment,2,1,1,1,1,1,1,1,1,4,75,1,0.05,Khlong Toei,1,32.967,0,0,2400,692,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3.4955070611328964,6.539585955617669,7.783224016336037,0.6931471805599453,0.4804530139182014,8,1,0,2,0,1,1,1,1,3,1,1,2,0,0
